标志（#为普通文本，&为选项文本）,ID,场景,人名,头像框,立绘,演出,内容,跳转,音效,备注,影响数值,影响量,启动事件,需要数值,需求量
#,1,空,旁白,,空,黑屏,…………,,,,,,,,
,2,,,,,,…………准备……了吗……,,,,,,,,
,3,,,,,,……布景…………脚架……呢……,,,,,,,,
,4,,,,,,……还没好？…………来不……,,,,,,,,
,5,,,,,,来不……了……,,,,,,,,
,6,,,,,,…………,,,,,,,,
,7,化妆间,,,姜韶平-坐-全身,<操作>点击角色,,,,,,,,,
,8,,,,空,CG-姜近景-1,——要来不及了！！,,,,,,,,
,9,,,,,,……完了。,,,,,,,,
,10,,,,,CG-姜近景-2,离正式开场还剩……师傅手脚快的话应该勉强能赶上……吧。,,,,,,,,
,11,,,,,,唉……都怪我功课没做足，没预到搭台工人竟然要另请。,,,,,,,,
,12,,,,,,要是来不及的话就只能……,,,,,,,,
,13,,,,,CG-姜近景-3,不行不行，这可是我的首秀，绝对不能搞砸！,,,,,,,,
,14,,,,,,一定赶得及的，一定赶得及的，一定赶得及的……,,,,,,,,
,15,,旁白,,,,这是你从演艺学院毕业后的第一场正式演出。,,,,,,,,
,16,,,,,,首次演出的剧院仅能容纳不过四百人，却也装潢精致，设备齐全，在业内小有名气。若不是你的作品在毕业演出上幸运地被评委中一位知名投资方相中，凭你新人剧作家的身份，绝不可能约到这般好场子。,,,,,,,,
,17,,,,,,可投资方毕竟是以金钱支持为主，剩下的一切都需要你亲自操办，碍于有限的经费和对作品的绝对掌控，你身兼数职，导演、编剧、制作人，甚至部分服装设计都由你亲自担任。,,,,,,,,
,18,,,,,,你的工作量明显超出负荷，却也乱中有序地推进着，直到超出你经验外的事故还是发生了——你想当然地以为剧院有专门的工作人员负责搭建舞台，而并没有多余经费租两天场地的剧团直到今天才第一次将所有道具搬到现场。,,,,,,,,
,19,,,,,,现在，你只得临时聘请一批工人前来救场，并在焦急中祈祷。,,,,,,,,
,20,,？？？,,,,什么来不及了？,,,,,,,,
,21,,姜韶平,姜韶平-惊讶,陈玉澍-默认,姜近陈远,陈、陈姐！您已经到啦。,,,渐入转场,,,,,
,22,,,,,,演出还有一会才开始，演员也还没到齐呢，要不您先去坐会儿……,,,,,,,,
,23,,陈玉澍,空,,,你后台门开这么大，又没人看着，我就进来看两眼。,,,,,,,,
,24,,陈玉澍,,,,看你临急临忙的，搞得如何了？,,,,,,,,
,25,,姜韶平,姜韶平-惊讶,,,基、基本都布置完了，现在只等师傅来把舞台脚架搭上就好了。,,,,,,,,
,26,,陈玉澍,空,陈玉澍-玩味,,哦，临时叫的？,,,,,,,,
,27,,姜韶平,姜韶平-沮丧,,,嗯…是我考虑不周，没有打好提前量。,,,,,,,,
,28,,姜韶平,姜韶平-惊讶,,,不过经费方面不用担心…还有余裕，如果有超出的部分我会补上的。,,,,,,,,
,29,,旁白,空,,,说谎了。陈姐投的资金早就见底了。,,,蒙版,,,,,
,30,,,,,,刚和陈姐签下合约时，你简直以为自己身在梦中。,,,,,,,,
,31,,,,,,曾令你走上音乐剧这条路的偶像居然看中了你的作品，抛来橄榄枝，随之而来的是一笔你从未敢奢望的投资——你终于可以实现梦想了。,,,,,,,,
,32,,,,,,可你从没想过拍戏竟然这么花钱。,,,,,,,,
,33,,,,,,能节省的人力都节省了，需要花钱的地方却层出不穷，原本看似充足的资金很快便开始捉襟见肘。,,,,,,,,
,34,,,,,,从小在修院长大的你对金钱并没有很强的认知，或许只是你经验不足又不善于安排支出吧。,,,,,,,,
,35,,,,,,你不好意思再开口要，也不想令陈姐失望，于是你从很早便开始自己垫钱。,,,,,,,,
,36,,,,,,——没事的，只要首秀上演，一切就都会运转起来。,,,,,,,,
,37,,陈玉澍,空,,,年轻人，太有责任心也不见得是好事。,,,蒙版结束,,,,,
,38,,,,,,放宽心，今夜的票都卖完了，这在新人首秀剧目里可不多见，以后有你赚的。,,,,,,,,
,39,,,,,,当然也要多亏我们那位大明星，怕是一半都来看她的吧。,,,,,,,,
,40,,,,,,哎呀，话曹操曹操到，大明星这不就来了。,,嘈杂人声,,,,,,
,41,,,,陈玉澍-皱眉,,好大的阵仗，不知道的还以为来了支足球队呢。,,,,,,,,
,42,,,,陈玉澍-默认,,给你们腾位啦，我去贵宾室候着了。,,,,,,,,
,43,,姜韶平,姜韶平-默认,,,好、好，陈姐慢走，贵宾室穿过舞台左拐。,,空,,,,,,
,44,,陈玉澍,,陈玉澍-默认,,呵呵，祝你旗开得胜，阿平。,,,,,,,,
,45,,空,空,空,CG-借过一下-1,,,,,,,,,
,46,,夏伦,,,,？,,,,,,,,
,47,,,,夏伦-默认,CG-借过一下-2,刚才那是陈太吗，她怎么走了？,,,,,,,,
,48,,姜韶平,姜韶平-默认,,,小夏，你来啦。,,,,,,,,
,49,,,,,,陈姐她到得早，先去贵宾室休息了。,,,,,,,,
,50,,夏伦,空,,姜近夏远,下午好，小平。,,,,,,,,
,51,,,,,,我应该没迟到吧。,,,,,,,,
,52,,姜韶平,姜韶平-默认,,,刚刚好，其他演员都在排戏。,,,,,,,,
,53,,,,,,既然演员组都到齐了，要不先一起过遍戏吧。,,,,,,,,
,54,,夏伦,空,,,让她们过吧，我先上妆。,,,,,,,,
,55,,,,,,虽然把我的妆造师都带来了，但要同时给那么多人上妆，还是得错错峰。,,,,,,,,
,56,,姜韶平,姜韶平-祈祷,,,！谢谢你……！小夏！,,,,,,,,
,57,,,,,,为剧团节省一整个妆造组经费的这份恩情，我一定会报答你的！,,,,,,,,
,58,,,,,,……当然，还有不收出场费这点也是。,,,,,,,,
,59,,夏伦,空,夏伦-开朗,,哈哈哈！这不是一开始就说好的嘛！,,,,,,,,
,60,,,,,,谁叫小平你这么厉害，刚毕业就能拉到投资做原创音乐剧，我听到这事的时候吓了一跳呢。,,,,,,,,
,61,,旁白,,夏伦-默认,,倒不如说，你才是那个被吓到的人。,,,蒙版,,,,,
,62,,,,,,如陈姐所言，夏伦是现阶段影视圈最炙手可热的新星。家世显赫，母亲又是红极一时的名伶，理所应当女承母业的她在留学回归后立刻被各路投资方青睐，通告不断。,,,,,,,,
,63,,,,,,与尚在起步阶段的本土音乐剧不同，这些年来影视行业在这座城市发展得风生水起，大导演和名演员迅速被舆论捧上神坛，成为资本的宠儿。,,,,,,,,
,64,,,,,,尽管夏伦也曾在外国剧团巡演此地的时候作为嘉宾客串出演，你却从未奢望过让她这种级别的演员来担当你原创小剧目的女主角，更是万万想不到对方居然物理意义上地“找上门来”。,,,,,,,,
,65,,,,,,原因或许是——夏伦是你中学时代最好，也是唯一的朋友。,,,,,,,,
,66,,,,,,在那个戒律森严的修院学校里，就连记忆的色调都是灰蒙蒙的，对你来说，小夏算是记忆中为数不多的一抹亮红。,,,,,,,,
,67,,,,,,不过，在她赴远洋留学后，你们之间的交集便逐渐减少。,,,,,,,,
,68,,,,,,后来再有她消息时，是在播着电台的的士里、在公园阿公摊开的报纸版面上，在商场外面大大的广告牌中。,,,,,,,,
,69,,,,,,你本无意打扰。直到现在你也没想明白夏伦到底是从哪儿知道你家地址的。,,,,,,,,
