标志（#为普通文本，&为选项文本）,ID,场景,人名,头像框,立绘,演出,内容,跳转,音效,备注,影响数值,影响量,启动事件,需要数值,需求量,时间,音乐
#,1,,姜韶平,姜韶平-疑问,,小剧场-夏伦对话1关于月经,嗯？这是什么药啊，小夏？,,,CG渐入,,,,,,,
,2,,夏伦,夏伦-小吃惊-头像,,,噢，原来放那里了啊，自从在家养病后都没吃过了。,,,,,,,,,,
,3,,,,,,是我之前用来推迟经期的。,,,,,,,,,,
,4,,姜韶平,姜韶平-惊讶,,,……欸？为什么……,,,,,,,,,,
,5,,夏伦,夏伦-眯眼笑-头像,,,可以让身体在上台的时候保持最佳状态。,,,,,,,,,,
,6,,姜韶平,姜韶平-疑问,,,可是这样……不会对身体有副作用吗？,,,,,,,,,,
,7,,夏伦,夏伦-默认-头像,,,也还好？我个人是没什么感觉。,,,,,,,,,,
,8,,,,,,不过也有认识的人事后反应会比较大。,,,,,,,,,,
,9,,姜韶平,姜韶平-惊讶,,,这、这样吗，我还真是第一次知道。,,,,,,,,,,
,10,,,,,,真是各行有各行的辛苦啊。,,,,,,,,,,
,11,,夏伦,夏伦-眯眼笑-头像,,,哈哈，在我看来，还是每天趴在桌前摇笔杆子更苦。,,,,,,,,,,
,12,,姜韶平,姜韶平-紧张,,,那……还是不太一样吧！,,,,,,,,,,
,13,,,,,,,END,,,,,,,,,
