标志（#为普通文本，&为选项文本）,ID,场景,人名,头像框,立绘,演出,内容,跳转,音效,备注,影响数值,影响量,启动事件,需要数值,需求量,时间,音乐
#,1,,姜韶平,姜韶平-兴奋,,小剧场-夏伦对话2关于家,小夏家外面的木棉花树好密好高啊……,,,CG渐入,,,,,,,
,2,,,,,,春天开了花来看一定很美。,,,,,,,,,,
,3,,夏伦,夏伦-眯眼笑,,,哈哈。,,,,,,,,,,
,4,,,,,,那你知道为什么唯独我家外面这片木棉花长得最高吗？,,,,,,,,,,
,5,,姜韶平,姜韶平-疑问,,,因为你家园丁照料得好？,,,,,,,,,,
,6,,夏伦,夏伦-坏笑,,,因为，它们都是吸收尸体的养分长大的。,,,,,,,,,,
,7,,,,,,春天开的花会跟血一样红哦。,,,,,,,,,,
,8,,姜韶平,姜韶平-呆滞-张嘴,,,尸体？！？！,,,,,,,,,,
,9,,夏伦,夏伦-默认,,,嗯嗯。,,,,,,,,,,
,10,,,夏伦-开朗,,,家族的人百年来都是埋在这片木棉花底下的。,,,,,,,,,,
,11,,,夏伦-闭眼笑,,,所以你面前的这些都是长辈们哦。,,,,,,,,,,
,12,,姜韶平,姜韶平-呆滞,,,欸、欸？！,,,,,,,,,,
,13,,,姜韶平-错愕,,,啊……呃、那个……,,,,,,,,,,
,14,,,,,,小夏的长辈们……你们好吗……？,,,,,,,,,,
,15,,,,,,谢谢你们一直……守候着我们？,,,,,,,,,,
,16,,夏伦,夏伦-憋笑,,,噗——,,,,,,,,,,
,17,,,夏伦-大笑,,,噗哈哈哈哈哈哈哈哈——！！,,,,,,,,,,
,18,,,,,,怎么真的会有人信啊哈哈哈哈！,,,,,,,,,,
,19,,姜韶平,姜韶平-恼羞成怒,,,唔……！,,,,,,,,,,
,20,,,,,,小夏，你又骗我……！,,,,,,,,,,
,21,,,,,,,END,,,,,,,,,
,,1,,,,,,,,,,,,,,,
