标志（#为普通文本，&为选项文本）,ID,场景,人名,头像框,立绘,演出,内容,跳转,音效,备注,影响数值,影响量,启动事件,需要数值,需求量,时间,音乐
#,1,空,空,空,空,黑屏,,,,音乐结束+CG渐入+自动转场,,,,,,,
,2,,旁白,,,,你对探病没什么心得，于是照着电视里的样子，买了束兰花和一篮水果。,,,背立绘渐出,,,,,,,
,3,,,,,,中学的假期，夏伦带你去过一次她家。,,,,,,,,,,
,4,场景-太平山道,,,,空,她家在山上，要换乘上山的缆车。,,缆车,,,,,,,,
,5,,,,,,山路狭窄盘旋，茂密的树枝不断抽打车顶，发出规律的沙沙声，市区的喧嚣一点点被抛在脚下。,,,,,,,,,,
,6,黑屏,,,,黑屏,下车后又走了很久。,,,CG渐入+音效中止,,,,,,,
,7,,,,,,山上的路陡，空气也比市区冷不少，提着沉甸甸的果篮，你走得有些喘。,,,,,,,,,,
,8,场景-夏伦家别墅,,,,空,迷路了好一阵，才终于在山道尽头找到那处别墅。,,,,,,,,,,
,9,,,,,,核对过门牌号，你按响石柱上的对讲机，说明来意。,,,,,,,,,,
,10,,,,,,片刻后，沉重的铁门向两侧滑开，露出里面的车道。,,铁门滑动,,,,,,,,
,11,,,,,,佣人领你穿过精心打理的花园，进了屋。,,,音效淡出,,,,,,,
,12,场景-夏伦的家,空,,,,,,,场景弹窗,,,,,,,
,13,,旁白,,,,屋内的样貌与你记忆中别无二致。,,,,,,,,,,
,14,,,,,,屋内的样貌与你记忆中别无二致。记得夏伦说过，这栋房子有一百多年的历史，从她记事起就长这样，古朴、素雅、一成不变。,,,,,,,,,,
,15,,,,,,夏伦的房间在二楼，你登上深色的木制楼梯，正迎上一位刚准备下楼的女人。,,下楼,,,,,,,,
,16,,,,夏伦母亲-默认,,是夏伦的母亲，她也和你记忆中相差无二。,,,正立绘渐入+音效淡出,,,,,,,
,17,,夏伦母亲,,夏伦母亲-说话,,你是……夏伦以前的同学对吧，欢迎你来。,,,,,,,,,,
,18,,姜韶平,姜韶平-默认,,,阿姨好，我来探望小夏。,,,,,,,,,,
,19,,,姜韶平-苦恼,,,她现在还好吗？,,,,,,,,,,
