标志（#为普通文本，&为选项文本）,ID,场景,人名,头像框,立绘,演出,内容,跳转,音效,备注,影响数值,影响量,启动事件,需要数值,需求量,时间,背景音乐
#,1,空,旁白,空,空,黑屏,…………,,,,,,,,,,空
,2,,,,,,…………准备……了吗……,,,,,,,,,,
,3,,,,,,……布景…………脚架……呢……,,,,,,,,,,
,4,,,,,,……还没好？…………来不……,,,,,,,,,,
,5,,,,,,来不……了……,,,,,,,,,,
,6,,,,,,…………,,,,,,,,,,
,7,,,,,,,9,,无刷屏转场,,,,,,,
,8,,空,,,,,,,,,,,,,,
,9,对话背景-化妆间,姜韶平,,空,CG-姜近景-1,——要来不及了！！,,,CG渐入+音乐渐入,,,,,,,郁闷
,10,,,,,,……完了。,,,,,,,,,,
,11,,,,,CG-姜近景-2,离正式开场还剩……师傅倒是说肯定能赶上……,,,CG渐入,,,,,,,
,12,,,,,,唉……都怪我功课没做足，没料到搭台工人竟然要另请。,,,,,,,,,,
,13,,,,,,要是来不及的话就只能……,,,,,,,,,,
,14,,,,,CG-姜近景-3,不行不行，这可是<color=#F8AA27>我的首秀</color>，绝对不能搞砸！,,,CG渐入,,,,,,,
,15,,,,,,赶得及的，赶得及的，赶得及的……,,,,,,,,,,
,16,,旁白,,,,这是你从演艺学院毕业后的第一场正式演出。,,,,,,,,,,
,17,,,,,,演出所在的剧院仅能容纳不过四百人，却也装潢精致，设备齐全，在业内小有名气。,,,,,,,,,,
,18,,,,,,若不是你的作品在毕业演出上幸运地被评委中一位知名<color=#F8AA27>投资方</color>相中，凭你新人剧作家的身份，肯定约不到这种好场子。,,,,,,,,,,
,19,,,,,,可投资方毕竟是以金钱支持为主，剩下的一切都需要你亲自操办。,,,,,,,,,,
,20,,,,,,碍于经费有限，你身兼数职，既是编剧又是制作人，甚至部分服装设计都由你亲自担任。,,,,,,,,,,
,21,,,,,,你的工作量明显超出负荷，却也乱中有序地推进着，直到发生了超出你经验外的事故。,,,,,,,,,,
,22,,,,,,你想当然地以为舞台的搭建自有剧院的人负责。,,,,,,,,,,
,23,,,,,,你想当然地以为舞台的搭建自有剧院的人负责。为了省钱，剧团只租了一天场地，今天才第一次把所有东西搬来。,,,,,,,,,,
,24,,,,,,所以现在，你只得临时聘请一批工人前来救场，并在焦急中祈祷。,,,音乐淡出,,,,,,,
,25,,？？？,,,,什么来不及了？,,,,,,,,,,
,26,,姜韶平,姜韶平-惊讶,陈玉澍-序章-默认,空,陈、陈姐！您已经到啦。,,,背渐入+正渐入+镜头右移+音乐渐入,,,,,,,节奏钢琴-piano lofi-Abstraction
,27,,,,,,演出还有一会才开始，演员也还没到齐呢，要不您先去坐会儿……,,,,,,,,,,
,28,,陈玉澍,空,,,你后台门开这么大，又没人看着，我就进来看两眼。,,,,,,,,,,
,29,,陈玉澍,,,,看你临急临忙的，搞得如何了？,,,,,,,,,,
,30,,姜韶平,姜韶平-惊讶,,,基、基本都布置完了，现在只等师傅把舞台脚架搭上就好了。,,,,,,,,,,
,31,,陈玉澍,空,陈玉澍-序章-玩味,,哦，临时叫的？,,,,,,,,,,
,32,,姜韶平,姜韶平-沮丧,,,嗯…是我考虑不周，没有打好提前量。,,,,,,,,,,
,33,,姜韶平,姜韶平-惊讶,,,不过经费方面不用担心…还有余裕，如果有超出的部分我会补上的。,,,,,,,,,,
,34,,旁白,空,,,说谎了。陈姐投的资金早就见底了。,,,,,,,,,,
,35,,,,,,刚和陈姐签下合约时，你简直以为自己身在梦中。,,,,,,,,,,
,36,,,,,,憧憬的前辈看中了你的作品，抛来橄榄枝，投了一笔从未奢望的钱——你终于可以实现梦想了。,,,,,,,,,,
,37,,,,,,可你从没想过拍戏竟然这么花钱。,,,,,,,,,,
,38,,,,,,能节省的人力都节省了，需要花钱的地方却层出不穷，原本看似充足的资金很快便开始捉襟见肘。,,,,,,,,,,
,39,,,,,,从小在<color=#F8AA27>修道院</color>长大的你对金钱并没有很强的认知，或许只是你经验不足又不善于安排支出吧。,,,,,,,,,,
,40,,,,,,你不好意思再开口要，也不想令陈姐失望，于是你便开始自己垫钱。,,,,,,,,,,
,41,,,,,,——没事的，只要首演上映，一切就都会运转起来。,,,,,,,,,,
,42,,陈玉澍,空,,,年轻人，太有责任心也不见得是好事。,,,,,,,,,,
,43,,,,,,放宽心，今夜的票都卖完了，这在新人首秀剧目里可不多见，以后有你赚的。,,,,,,,,,,
,44,,,,,,当然也要多亏我们那位<color=#F8AA27>大明星</color>，怕是一半都来看她的吧。,,,,,,,,,,
,45,,,,,,哎呀，话曹操曹操到，大明星这不就来了。,,,,,,,,,,
,46,,,,陈玉澍-序章-皱眉,,好大的阵仗，不知道的还以为来了支球队呢。,,,,,,,,,,
,47,,,,陈玉澍-序章-默认,,给你们腾位啦，我去候着了。,,,,,,,,,,
,48,,姜韶平,姜韶平-默认,,,好、好，陈姐慢走，贵宾室穿过舞台左拐。,,,,,,,,,,
,49,,陈玉澍,空,陈玉澍-序章-默认,,呵呵，祝你旗开得胜，阿平。,,,,,,,,,,
,50,,空,空,空,CG-借过一下-1,,,,CG渐入,,,,,,,
,51,,夏伦,,,,？,,,,,,,,,,
,52,,姜韶平,,,CG-借过一下-2,小夏，你来啦。,,,CG渐入,,,,,,,
,53,,夏伦,,,,下午好，小平。,,,,,,,,,,
,54,,,,,,刚才那是陈太吗，她怎么走了？,,,,,,,,,,
,55,,姜韶平,,,,陈姐她到得早，先去贵宾室休息了。,,,,,,,,,,
,56,,夏伦,空,夏伦-默认,空,这样。,,,镜头右移+镜头特写100,,,,,,,
,57,,,,,,我应该没迟到吧。,,,,,,,,,,
,58,,姜韶平,姜韶平-默认,,,刚刚好，其他演员都在排戏。,,,,,,,,,,
,59,,,,,,既然演员组都到齐了，要不先一起过遍戏吧。,,,,,,,,,,
,60,,夏伦,空,,,让她们过吧，我先上妆。,,,,,,,,,,
,61,,,,,,虽然把我的妆造师都带来了，但要同时给那么多人上妆，还是得错错峰。,,,,,,,,,,
,62,,姜韶平,姜韶平-祈祷,,,！谢谢你……！小夏！,,,,,,,,,,
,63,,,,,,为剧团节省一整个妆造组经费的这份恩情，我一定会报答你的！,,,,,,,,,,
,64,,,,,,……当然，还有不收出场费这点也是。,,,,,,,,,,
,65,,夏伦,空,夏伦-开朗,,哈哈哈！这不是一开始就说好的嘛！,,,,,,,,,,
,66,,,,,,谁叫小平你这么厉害，刚毕业就能拉到投资做自编舞台剧，我听到这事的时候吓了一跳呢。,,,,,,,,,,
,67,,旁白,,夏伦-默认,,倒不如说，你才是那个被吓到的人。,,,蒙版渐入+音量渐入减小,,,,,,,
,68,,,,,,如陈姐所言，夏伦是现阶段演艺圈最炙手可热的新星。,,,,,,,,,,
,69,,,,,,她家世显赫，母亲又是红极一时的名伶，理所应当女承母业。,,,,,,,,,,
,70,,,,,,自她留学归来后，就迅速受到各家剧团青睐，几家知名制片厂也抛出橄榄枝，戏路不断。,,,,,,,,,,
,71,,,,,,这些年现代戏剧的市场虽比不上影视行业，却也在本地蒸蒸日上。,,,,,,,,,,
,72,,,,,,这些年现代戏剧的市场虽比不上影视行业，却也在本地蒸蒸日上。政府资助和商界投资越来越多，好几位影视大咖也开始试水。,,,,,,,,,,
,73,,,,,,正因如此，你从没想过能请到夏伦这样的当红演员来担任你剧目的女主角。,,,,,,,,,,
,74,,,,,,正因如此，你从没想过能请到夏伦这样的当红演员来担任你剧目的女主角。更没想到，她居然会亲自登门毛遂自荐。,,,,,,,,,,
,75,,,,,,原因或许是——夏伦是你中学时代最好，也是唯一的朋友。,,,,,,,,,,
,76,,,,,,在那个戒律森严的修道院学校里，就连记忆的色调都是灰蒙蒙的，对你来说，小夏算是其中为数不多的一抹亮红。,,,,,,,,,,
,77,,,,,,不过，在她赴远洋留学后，你们便渐渐断了联系。,,,,,,,,,,
,78,,,,,,后来再有她消息时，是在的士电台里、在公园阿嬷手里摊开的报纸上，在商场外整面墙的广告牌里。,,,,,,,,,,
,79,,,,,,你本无意打扰。直到现在你也没想明白夏伦到底是从哪儿知道你家地址的。,,,,,,,,,,
,80,,姜韶平,姜韶平-眯眼笑,,,哈哈哈，我当时才是被小夏吓了一跳呢。,,,蒙版渐出结束+音量渐出恢复,,,,,,,
,81,,,,,,好啦，把叙旧留给庆功宴，你先去准备吧。,,,,,,,,,,
,82,,夏伦,空,夏伦-装可怜,,好好好，一到演出就领导模式附体，我去就是了。,,,,,,,,,,
,83,,,,夏伦-平淡,,喔对了，刚才我好像看到那<color=#F8AA27>写歌的小朋友</color>了。,,,,,,,,,,
,84,,姜韶平,姜韶平-惊讶,,,海心吗？她居然来了？在哪儿？,,,,,,,,,,
,85,,夏伦,空,,,在舞台那边，我看Staff们都急急忙忙的，发生什么事了?,,,,,,,,,,
,86,,姜韶平,姜韶平-紧张,,,嗯……现在布场挺忙的。,,,,,,,,,,
,87,,,空,,,那边太乱了，我去看看她，待会见啊小夏！,,,背渐出,,,,,,,
,88,,夏伦,空,夏伦-惊讶,,诶，等等——,,,,,,,,,,
,89,,,,夏伦-平淡,,……,,,,,,,,,,
,90,,,,空,,算了，我们进去吧。,,,正渐出+音乐淡出,,,,,,,
,91,场景-舞台,空,,,空,,,,刷屏转场+场景弹窗+镜头重置,,,,,,,
,92,对话背景-舞台,姜韶平,空,,空,海心！,,,,,,,,,,
,93,,张海心,,张海心-默认,,……？,,,正渐入+镜头特写100,,,,,,,
,94,,姜韶平,姜韶平-惊讶,,,你怎么在这儿？,,,背渐入,,,,,,,
,95,,张海心,空,,,……,,,镜头右移,,,,,,,
,96,,,,张海心-侧目,,我不能来吗？,,,音乐渐入,,,,,,,不安分贝斯-Patreon Challenge 03
,97,,姜韶平,姜韶平-尴尬,,,没有没有，我是想说，要是知道你会来我该去接你的。,,,,,,,,,,
,98,,张海心,空,张海心-默认,,嗯。,,,,,,,,,,
,99,,姜韶平,姜韶平-说话,,,我带你去休息室吧？,,,,,,,,,,
,100,,张海心,空,,,……,,,,,,,,,,
,101,,,,,,这里的音响，有几个？,,,,,,,,,,
,102,,姜韶平,姜韶平-疑问-无问号,,,音响？左右各一个，这剧场挺小的。,,,,,,,,,,
,103,,张海心,空,,,现在能试音吗？,,,,,,,,,,
,104,,姜韶平,姜韶平-疑问-无问号,,,试音吗……其实刚才已经试过了，效果很好，现在Staff忙别的去了。,,,,,,,,,,
,105,,张海心,空,张海心-下目,,…………行。,,,,,,,,,,
,106,,姜韶平,姜韶平-无奈笑,,,等她忙完了我去问问还能再试一遍不，你想试哪段？,,,,,,,,,,
,107,,张海心,空,张海心-默认,,算了。,,,,,,,,,,
,108,,,,,,算了。也不用。,,,,,,,,,,
,109,,姜韶平,姜韶平-疑问-无问号,,,你是在意哪里吗？,,,,,,,,,,
,110,,张海心,空,,,没什么。,,,,,,,,,,
,111,,,,,,只是，不太习惯。,,,,,,,,,,
,112,,姜韶平,姜韶平-疑问-无问号,,,什么？,,,,,,,,,,
,113,,张海心,空,张海心-默认,,不太习惯，听自己写的曲子被别人弹。,,,,,,,,,,
,114,,旁白,,,,张海心是个自由的乐队人。,,,,,,,,,,
