标志（#为普通文本，&为选项文本）,ID,场景,人名,头像框,立绘,演出,内容,跳转,音效,备注,影响数值,影响量,启动事件,需要数值,需求量,时间,背景音乐
#,1,场景-小平房间,旁白,空,空,CG-收音机,你很少看新闻。,,,音乐结束+镜头重置,,,,,,11月18日星期日,
,2,,,,,,你没有看报纸的习惯。你租住的房间里也没有电视，只有一台房东留下的老旧收音机，一打开就会断断续续发出电流音和金属般的啸叫。,,,正渐出+背渐出+音乐结束+镜头重置,,,,,,,
,3,,收音机,,,,…滋滋……艺术中心剧院□□□舞台事故，知名戏剧演员夏伦失足从3米□□跌落……滋——,,广播,,,,,,,,
,4,,旁白,,,,这声音听久了真让人头疼。,,,,,,,,,,
,5,,收音机,,,,……无生命□□……目前仍在□□……滋滋…,,,,,,,,,,
,6,,旁白,,,,你感到耳鸣，太阳穴在皮肤底下阵阵跳动。,,,,,,,,,,
,7,,收音机,,,,该剧目由□□娱乐投资，据知情人士称，该剧由新人剧作家——eee——！,,啸叫,,,,,,,,
,8,,姜韶平,,,CG-收音机-手,嘶——,,,CG渐入,,,,,,,
,9,,空,,,,,,关按键,,,,,,,,
,10,,姜韶平,,,,唉……,,,音效中止,,,,,,,
,11,场景-小平房间,,姜韶平-咬牙,,空,这收音机，还是让房东拿走修下吧。,,,CG渐出,,,,,,,
,12,,旁白,空,,,说不准是你太久没用它积灰了，还是在你住进来的时候就已经坏掉了。,,,,,,,,,,
,13,,,,,,说来好笑，剧目上演前夕，你曾幻想过首演大获成功，自己被媒体争相报道时的情景。你自觉不擅长被采访，为此还小小准备了一番。,,,,,,,,,,
,14,,,,,,……现在也被争相报道就是了。,,,,,,,,,,
,15,,姜韶平,姜韶平-苦笑,,,哈哈……,,,,,,,,,,
,16,,旁白,空,,,关掉吵闹的收音机后，你想重新回到刚才的工作中，但仍很难集中注意力——这两天在家，你制定了几个补救方案，因为没有陈姐那边的后续消息，无法确定可行性，让这些方案看上去像是在垂死挣扎。,,,,,,,,,,
,17,,,,,,你讨厌这种什么都做不了的无力感，才想办法尽力做些什么来冲散自己的胡思乱想。,,,,,,,,,,
,18,,姜韶平,姜韶平-沮丧,,,唉。,,,,,,,,,,
,19,,,,,,也不知道小夏现在如何了……,,,,,,,,,,
,20,,空,空,,黑屏,,,,黑屏渐入+自动播放1秒,,,,,,,
,21,,旁白,空,,CG-霓虹影,万幸的是，夏伦没有生命危险。,,车辆远去,CG渐入,,,,,,,
,22,,,,,,怔怔地目送她被送上救护车好久后，你才有时间崩溃。,,,,,,,,,,
,23,,,,,,被疏散的观客还三三两两留在剧院外，消化着惊魂未定的心情。,,,音效中止,,,,,,,
,24,,,,,,舞台已被全面封锁，在警方取完证之前谁都不能清理。,,,,,,,,,,
,25,,,,,,你听到后方传来剧院工作人员与一名警员焦急争论的声音，而其他人则毫不掩饰地瞪你——明天是周六，后天是周日，剧场的黄金时段，早就排满了戏要上演。,,,音乐渐入,,,,,,,悲伤下雨-Patreon Challenge 01
