标志（#为普通文本，&为选项文本）,ID,场景,人名,头像框,立绘,演出,内容,跳转,音效,备注,影响数值,影响量,启动事件,需要数值,需求量,时间,背景音乐
#,1,场景-房间,旁白,空,空,CG-收音机,你很少看新闻。,,,音乐结束+镜头重置,,,,,,11月18日星期日,
,2,,,,,,你没有看报纸的习惯。你租住的房间里也没有电视，只有一台房东留下的老旧收音机，一打开就会断断续续发出电流音和金属般的啸叫。,,,正渐出+背渐出+音乐结束+镜头重置,,,,,,,
,3,,收音机,,,,…滋滋……艺术中心剧院□□□舞台事故，知名戏剧演员夏伦失足从3米□□跌落……滋——,,广播,,,,,,,,
,4,,旁白,,,,这声音听久了真让人头疼。,,,,,,,,,,
,5,,收音机,,,,……无生命□□……目前仍在□□……滋滋…,,,,,,,,,,
,6,,旁白,,,,你感到耳鸣，太阳穴在皮肤底下阵阵跳动。,,,,,,,,,,
,7,,收音机,,,,该剧目由□□娱乐投资，据知情人士称，该剧由新人剧作家——eee——！,,啸叫,,,,,,,,
,8,,姜韶平,,,CG-收音机-手,嘶——,,,CG渐入,,,,,,,
,9,,空,,,,,,关按键,,,,,,,,
,10,,姜韶平,,,,唉……,,,音效中止,,,,,,,
,11,场景-房间,,姜韶平-咬牙,,空,这收音机，还是让房东拿走修下吧。,,,CG渐出,,,,,,,
,12,,旁白,空,,,说不准是你太久没用它积灰了，还是在你住进来的时候就已经坏掉了。,,,,,,,,,,
,13,,,,,,说来好笑，剧目上演前夕，你曾幻想过首演大获成功，自己被媒体争相报道时的情景。你自觉不擅长被采访，为此还小小准备了一番。,,,,,,,,,,
,14,,,,,,……现在也被争相报道就是了。,,,,,,,,,,
,15,,姜韶平,姜韶平-苦笑,,,哈哈……,,,,,,,,,,
,16,,旁白,空,,,关掉吵闹的收音机后，你想重新回到刚才的工作中，但仍很难集中注意力——这两天在家，你制定了几个补救方案，因为没有陈姐那边的后续消息，无法确定可行性，让这些方案看上去像是在垂死挣扎。,,,,,,,,,,
,17,,,,,,你讨厌这种什么都做不了的无力感，才想办法尽力做些什么来冲散自己的胡思乱想。,,,,,,,,,,
,18,,姜韶平,姜韶平-沮丧,,,唉。,,,,,,,,,,
,19,,,,,,也不知道小夏现在如何了……,,,,,,,,,,
,20,,空,空,,黑屏,,,,黑屏渐入+自动播放1秒,,,,,,,
,21,,旁白,空,,CG-霓虹影,万幸的是，夏伦没有生命危险。,,车辆远去,CG渐入,,,,,,,
,22,,,,,,怔怔地目送她被送上救护车好久后，你才有时间崩溃。,,,,,,,,,,
,23,,,,,,被疏散的观客还三三两两留在剧院外，消化着惊魂未定的心情。,,,音效淡出,,,,,,,
,24,,,,,,舞台已被全面封锁，在警方取完证之前谁都不能靠近。,,,,,,,,,,
,25,,,,,,你听到后方传来工作人员与一名警员焦急争论的声音，其他人则毫不掩饰地向你投来埋怨和愤恨的目光——明天是周六，后天是周日，剧场的黄金时段，早就排满了戏要上演。,,,音乐渐入,,,,,,,悲伤下雨-Patreon Challenge 01
,26,,,,,CG-解围-1,一进门，剧院经理就凑了上来。她满脸痛心地拍拍你的肩，替你叹老天狠心，一边又提起舞台的搭建不是由剧院负责，发生这事她也很难办。,,,CG渐入,,,,,,,
,27,,,,,,很快，其他人像闻到血腥味的鲨鱼般围了上来，自顾自开始讨论起来，每个问题都要像征求你意见似地抛给你，不等你回答完，又立刻被其他人夺走话头。,,,,,,,,,,
,28,,,,,,二次损失、清场、保险、预期分成、更换主演……还有人说这种事故影响了剧院的风水，也应该算上损失……,,,,,,,,,,
,29,,姜韶平,,,,嗯、我……这些我也……,,,,,,,,,,
,30,,,,,,嗯、我……这些我也……大家改天好好商量一下吧，,,,,,,,,,,
,31,,,,,,嗯、我……这些我也……大家改天好好商量一下吧，是，是我知道……,,,,,,,,,,
,32,,,,,,是吗……合约里应该……,,,,,,,,,,
,33,,,,,,是吗……合约里应该……是，是。,,,,,,,,,,
,34,,,,,,是吗……合约里应该……是，是。真的对不——,,,,,,,,,,
,35,,陈玉澍,空,,,我说刘经理，演出合约是我们三方签的，不等我一起商量，在这刁难年轻人算什么。,,,,,,,,,,
,36,,旁白,,,CG-解围-2,陈姐不知什么时候来到你身后，经理立马熄火，原先压在你肩上的手也迅速抽开，转而谄媚地扭在了一起。,,,CG渐入,,,,,,,
,37,,剧院经理,,,,陈老板哪里的话！我这不是先开导开导咱小姜同志，年轻人没见过风浪，不磨砺磨砺怕影响日后事业呀！,,,,,,,,,,
,38,,陈玉澍,,,,呵呵，那恐怕也轮不到你来吧。,,,,,,,,,,
,39,对话背景-剧院门口,旁白,,,,陈姐使了个眼色，身边那位高大的警官就把剧院经理和其他围着你的人带去做目击笔录了。,,,,,,,,,,
,40,,,,,空,然后她示意你走到人少的角落。,,,,,,,,,,
,41,,陈玉澍,,陈玉澍-序章-严肃,,阿平，过来。,,,正渐入+背渐入+镜头右移+镜头特写0,,,,,,,
,42,,姜韶平,姜韶平-慌乱,,,陈姐，我……,,,,,,,,,,
,43,,旁白,空,,,目睹了这一切，陈姐会很失望吧。,,,,,,,,,,
,44,,,,,,目睹了这一切，陈姐会很失望吧。一切就这样被你搞砸了，而你又什么话都说不上来，什么事都处理不了。,,,,,,,,,,
,45,,姜韶平,姜韶平-委屈,,,……对不起。,,,,,,,,,,
,46,,陈玉澍,空,陈玉澍-序章-严肃,,现在不说这个。,,,,,,,,,,
,47,,,,,,刚才那位王Sir是我熟人，你先跟着她去做笔录，做完就赶紧回去。,,,,,,,,,,
,48,,,,,,走的时候记得挡严实点，那群记者跑得可快，晚点外面应该就被围住了。,,,,,,,,,,
,49,,,,,,在我通知你前都先别出门。,,,,,,,,,,
,50,,姜韶平,姜韶平-委屈,,,可、可是……我得留下来……都是我……,,,,,,,,,,
,51,,陈玉澍,空,陈玉澍-序章-严肃,,停，没有调查出结果前，不要擅自揽责。,,,,,,,,,,
,52,,,,陈玉澍-序章-默认,,毕竟，责任越大……赔钱越多。,,,,,,,,,,
,53,,,,,,你去吧，这之后的事我来处理就好。,,,,,,,,,,
,54,,姜韶平,姜韶平-沮丧,,,…………好的，我知道了。,,,,,,,,,,
,55,,旁白,空,空,,之后，陈姐把你留在原地，自己去和其他人交涉了。,,,正渐出,,,,,,,
,56,,,,,,你看着她游刃有余的背影和那些老油条谄媚的笑脸，忽然觉得自己像孩童般无力。,,,,,,,,,,
,57,,,,,,你精心制作的剧目，你亲力亲为张罗的日程、选中的人员、组建起来的剧团，你收到的来自各方的期待，你天真地以为拥有了这一切就可以令你摆脱稚气，立足于业界。,,,,,,,,,,
,58,,,,,,然而在真正的大人面前，你那些东西又都显得那么不堪一击，像是海滩上孩子用沙砌的城堡，海浪一来便只剩残骸。,,,,,,,,,,
,59,,,,,,有了陈姐，这里再不需要你在场了。,,,,,,,,,,
,60,,,,,,没过多久，刚才那位王警官走了过来，提醒你该去做笔录了。,,,背渐出+音乐淡出,,,,,,,
,61,,,,空,CG-警车内,笔录做完，你像个被押的犯人似地被警车送回了家。,,救护车警笛,CG渐入,,,,,,,
,62,,,,,,笔录做完，你像个被押的犯人似地被警车送回了家。远处的警笛声似梦魇般如影随形。,,,镜头重置,,,,,,,
,63,场景-房间,,,,黑屏,,,,黑屏渐入+音效淡出,,,,,,,
,64,,姜韶平,姜韶平-惊讶,,空,！,,电话铃,,,,,,,,
,65,,旁白,空,,,电话刚响了一下，你就抓起听筒，差点把基座撞到桌下去。,,接电话,音效中止,,,,,,,
