标志（#为普通文本，&为选项文本）,ID,场景,人名,头像框,立绘,演出,内容,跳转,音效,备注,影响数值,影响量,启动事件,需要数值,需求量,时间,音乐
#,1,,姜韶平,姜韶平-默认,,小剧场-张海心对话2关于家,天气真好，,,,CG渐入,,,,,,,
,2,,,姜韶平-惊吓,,,天气真好，天好蓝——啊！！,,,,,,,,,,
,3,,空,空,,,（绊）,,摔倒,屏幕抖动,,,,,,,
,4,,,,,,痛……绊到什么东西了……？,,,,,,,,,,
,5,,姜韶平,姜韶平-严肃,,,？这是……帐篷？,,,,,,,,,,
,6,,,,,,撑在路边，也太容易绊到人了吧。,,,,,,,,,,
,7,,,,,,你好？有人在里面吗？不好意思你这样搭帐篷,,,,,,,,,,
,8,,,姜韶平-惊讶,,,你好？有人在里面吗？不好意思你这样搭帐篷——嗯？,,,,,,,,,,
,9,,张海心,空,,,zzz……,,,,,,,,,,
,10,,姜韶平,姜韶平-惊讶,,,海、海心？！,,,,,,,,,,
,11,,张海心,张海心-不耐烦-闭眼,,,啧……,,,,,,,,,,
,12,,,,,,啧……吵死了……,,,,,,,,,,
,13,,,张海心-懵懂,,,……小平姐？,,,,,,,,,,
,14,,姜韶平,姜韶平-惊讶,,,你怎么会睡在这里啊？！,,,,,,,,,,
,15,,张海心,张海心-疑问,,,？,,,,,,,,,,
,16,,,,,,这是我家。,,,,,,,,,,
,17,,姜韶平,姜韶平-错愕,,,呃……所以你有时白天找不见人难道就是躲公园帐篷里睡觉？？,,,,,,,,,,
,18,,张海心,张海心-不耐烦-闭眼,,,外面好亮……能把帘子拉上吗？,,,,,,,,,,
,19,,姜韶平,姜韶平-错愕,,,不行，你这帐篷都伸到路边了，很危险的！,,,,,,,,,,
,20,,,,,,出来先，至少把它挪个地你再睡。,,,,,,,,,,
,21,,张海心,张海心-不耐烦-闭眼,,,不……,,拉扯声,,,,,,,,
,22,,姜韶平,姜韶平-咬牙,,,出来……,,,,,,,,,,
,23,,张海心,张海心-不耐烦-闭眼,,,不…………,,,,,,,,,,
,24,,,,,,私闯民宅，暴力拆迁啊——,,,,,,,,,,
,25,,姜韶平,姜韶平-笑面虎,,,好啦！！听话！！,,,,,,,,,,
,26,,,,,,,END,,,,,,,,,
,,1,,,,,,,,,,,,,,,
