标志（#为普通文本，&为选项文本）,ID,场景,人名,头像框,立绘,演出,内容,跳转,音效,备注,影响数值,影响量,启动事件,需要数值,需求量,时间,音乐
#,1,场景-透明,空,空,空,黑屏,,,,正渐出+背立绘渐出+无刷屏转场+音乐结束,,,,,,,
,2,空,旁白,,,黑屏,音乐吧的门关着。天色尚早，一条街的吧都还没到营业时间。,,,,,,,,,,
,3,,,,,,好在你知道侧门的位置，这里的老板为了方便人进出总是不锁侧门。,,,,,,,,,,
,4,,姜韶平,姜韶平-说话,,,打扰了……有人在吗？,,铁门拉开,,,,,,,,
,5,场景-野狼音乐吧,空,空,,空,,,,场景弹窗,,,,,,,
,6,,旁白,空,,,你推开了门。大堂空无一人，处处都是彻夜狂欢的痕迹。,,,,,,,,,,
,7,,姜韶平,姜韶平-平淡,,,（好像没人……晚些时候再来吧）,,,,,,,,,,
,8,,？？？,空,,,谁？,,,,,,,,,,
,9,,旁白,,,,脚步声从深处传来，声音的主人很快出现在眼前，带着刚睡醒的倦意。,,,音乐渐入,,,,,,,不安分贝斯-Patreon Challenge 03
,10,,？？？,,老板-平淡,,哦，是你啊。,,,正立绘渐入,,,,,,,
,11,,,,,,白天不营业，晚点再来。,,,,,,,,,,
,12,,旁白,,,,面前这位健壮的女人是这里的老板，据称年轻时也是位叱咤风云的乐队狠角。,,,,,,,,,,
,13,,,,,,隐退后，她在铜湾开了这家音乐吧，因风格前卫的演出和自由开放的氛围在特定群体里相当有名。,,,,,,,,,,
,14,,姜韶平,姜韶平-默认,,,老板好，我是来找海心的。她在吗？,,,,,,,,,,
,15,,老板,空,老板-啧-侧目,,找那女崽？鬼知道上哪去了。,,,,,,,,,,
,16,,旁白,,,,没人清楚张海心和老板到底是什么关系。,,,,,,,,,,
,17,,,,,,你只知道海心借住在此，似乎是用驻场演出冲抵食宿费。,,,,,,,,,,
,18,,姜韶平,姜韶平-说话,,,好吧，那我晚点再来……谢谢您。,,,,,,,,,,
,19,,老板,空,,,……,,,,,,,,,,
,20,,,,,,等下。,,,,,,,,,,
,21,,,,老板-平淡,,我记得，你前两天是不是……,,,,,,,,,,
,22,,姜韶平,,,,（连老板也知道了吗……）,,,,,,,,,,
,23,,老板,,,,哼……找也找不到，你在这等她吧。,,,,,,,,,,
,24,,,,,,她晚上有演出，第一场就是，早晚都会回来。,,,,,,,,,,
,25,,姜韶平,姜韶平-疑问,,,还没开门，会不会麻烦您了。,,,,,,,,,,
,26,,老板,空,老板-啧-侧目,,这里乱七八糟的，我的人请假了，也没人收拾。,,,,,,,,,,
,27,,,,老板-平淡,,等着也是等着，今天给你开两倍工钱，干吗？,,,,,,,,,,
,28,,旁白,,,,虽然有些出人意料，但对于当下极度缺钱的你来说，当然是来者不拒。,,,,,,,,,,
,29,,姜韶平,姜韶平-默认,,,当然可以，谢谢您。需要我做哪些？,,,,,,,,,,
,30,,老板,空,,,把桌椅都整理好、洗杯、点货……调酒会吗？,,,,,,,,,,
,31,,姜韶平,姜韶平-紧张,,,…这个可以现学吗？,,,,,,,,,,
,32,,老板,空,,,当然。,,,,,,,,,,
,33,,,,老板-笑,,来这儿的人大多只是想来点劣质酒精点燃大脑罢了，对酒没啥品味，很快就能上手。,,,,,,,,,,
,34,,姜韶平,姜韶平-紧张,,,这样说自己的顾客吗……,,,,,,,,,,
,35,,老板,空,,,呵呵，野狼吧不会惯着任何人。,,,,,,,,,,
,36,,旁白,,,,<i>已解锁打工：酒保</i>,,解锁音效,,现金,600,,,,,
,37,,,,,,<i>每天晚上可以来野狼音乐吧兼职了！</i>,,,,,,,,,,
,38,,空,,空,黑屏,,,,无刷屏转场,,,,,,,
,39,,旁白,,,空,老板简单教了你几种热门酒的调法，打着哈欠就回房间里睡觉了。,,,,,,,,,,
,40,,,,,,留你一个新人独自接待客人，她的心还真大。,,,,,,,,,,
,41,,,,,,基础的活你倒是上手得很快，但吧里人手不足，你还是从开店前一直忙到店里站满了人。,,,,,,,,,,
,42,,,,,,客人多是年轻、打扮时髦的女孩，不少人都带着友善而好奇的目光打量着你这个新面孔，总有些不太自在。,,,,,,,,,,
,43,,,,,,你时不时在进出的人群中搜寻海心的身影，但不断有人来点酒、搭话，接连不断的应对令你感到有些疲惫。,,,,,,,,,,
,44,,姜韶平,姜韶平-叹气,,,哈……,,,,,,,,,,
,45,,,,,,（来这里明明不是为了这个……）,,,,,,,,,,
,46,,造型前卫的女孩,空,,,姐姐~你是新来的吗？,,,,,,,,,,
,47,,,,,,你调的酒真好喝！,,,,,,,,,,
,48,,旁白,,,,女孩刚啜了一口酒，就热情地夸赞你。,,,,,,,,,,
,49,,姜韶平,姜韶平-默认,,,是吗？谢谢你。,,,,,,,,,,
,50,,,,,,我也是第一次尝试调酒。,,,,,,,,,,
,51,,造型前卫的女孩,空,,,你之后还会来吗？我能知道你哪几天有排班吗？,,,,,,,,,,
,52,,姜韶平,姜韶平-说话,,,这个我不太清楚……,,,,,,,,,,
,53,,旁白,空,,,似乎是怕你多想，女孩赶忙补充。,,,,,,,,,,
,54,,造型前卫的女孩,,,,拜托了……姐姐调的酒真的好好喝，比这里之前的酒保强太多，要是哪天错过了我要哭的~,,,,,,,,,,
,55,,,,,,或者你有Call机吗？我能问你的Call机号码吗？,,,,,,,,,,
,56,,旁白,,,,遇上了热情难缠的客人，但看上去也不是坏人。,,,,,,,,,,
,57,,,,,,怎么办，要给她号码吗？,,,,,,,,,,
&,58,,,,,,给她号码,60,,中,,,,,,,
&,59,,,,,,婉拒,64,,中,,,,,,,
#,60,,旁白,,,,她看起来是这里的熟客，如果之后要继续来这兼职，有固定的客源也不错。,,,,海心吃醋,88,,,,,
