编号,文件名,章节名
1,CG-解围-1,序章·其二
1,CG-解围-2,序章·其二
2,CG-陈姐in老板椅-垂眼,序章·其二
2,CG-陈姐in老板椅-抬眼,序章·其二
2,CG-陈姐in老板椅-抬眼-说话,序章·其二
2,CG-陈姐in老板椅-平淡,序章·其二
2,CG-陈姐in老板椅-玩味,序章·其二
2,CG-陈姐in老板椅-冷淡,序章·其二
2,CG-陈姐in老板椅-冷淡-阿福阿宝,序章·其二
2,CG-陈姐in老板椅-玩味-阿福阿宝,序章·其二
2,CG-陈姐in老板椅-玩味-阿福阿宝-递文件,序章·其二
3,CG-陈姜对峙,序章·其二
3,CG-陈姜对峙-陈递姜接,序章·其二
3,CG-陈姜对峙-姜黑脸,序章·其二
3,CG-陈姜对峙-姜看合约,序章·其二
4,CG-陈姜对峙-姜怒吼扔纸,序章·其二
4,CG-陈姐in老板椅-冷淡-阿福阿宝-拂纸,序章·其二
5,CG-陈姐小平车内,陈玉澍·其一
6,CG-陈姐阿宝小平车内,陈玉澍·其一
7,CG-片场-1,陈玉澍·其一
7,CG-片场-2,陈玉澍·其一
8,CG-陈姐开枪-1,陈玉澍·其一
9,CG-陈姐开枪-2,陈玉澍·其一
10,CG-陈姐开完枪,陈玉澍·其一
11,CG-陈姐车窗1,陈玉澍·其一
11,CG-陈姐车窗2,陈玉澍·其一
