编号,文件名,章节名
1,CG-姜近景-1,序章·其一
1,CG-姜近景-2,序章·其一
1,CG-姜近景-3,序章·其一
2,CG-借过一下-1,序章·其一
2,CG-借过一下-2,序章·其一
3,CG-撞上了,序章·其一
4,CG-要搭把手吗？,序章·其一
4,CG-要搭把手吗？-赵工-1,序章·其一
4,CG-要搭把手吗？-赵工-2,序章·其一
4,CG-要搭把手吗？-赵工-3,序章·其一
5,CG-舞台开场,序章·其一
5,CG-舞台开场-2,序章·其一
6,CG-夏伦的演出-1.1,序章·其一
6,CG-夏伦的坠落-1.1,序章·其一
6,CG-夏伦的坠落-1.2,序章·其一
7,CG-夏伦的坠落-2,序章·其一
8,CG-夏伦的坠落-3,序章·其一
8,CG-夏伦的坠落-3-静态,序章·其一
9,CG-夏伦的坠落-4,序章·其一
10,CG-夏伦的坠落-5,序章·其一
11,CG-收音机,序章·其二
11,CG-收音机-手,序章·其二
12,CG-霓虹影,序章·其二
13,CG-解围-1,序章·其二
13,CG-解围-2,序章·其二
14,CG-警车内,序章·其二
15,CG-陈姐in老板椅-垂眼,序章·其二
15,CG-陈姐in老板椅-抬眼,序章·其二
15,CG-陈姐in老板椅-抬眼-说话,序章·其二
15,CG-陈姐in老板椅-平淡,序章·其二
15,CG-陈姐in老板椅-玩味,序章·其二
15,CG-陈姐in老板椅-垂眼,序章·其二
15,CG-陈姐in老板椅-抬眼-说话,序章·其二
15,CG-陈姐in老板椅-平淡,序章·其二
15,CG-陈姐in老板椅-冷淡,序章·其二
15,CG-陈姐in老板椅-冷淡-阿福阿宝,序章·其二
15,CG-陈姐in老板椅-玩味-阿福阿宝,序章·其二
15,CG-陈姐in老板椅-玩味-阿福阿宝-递文件,序章·其二
16,CG-陈姜对峙,序章·其二
16,CG-陈姜对峙-姜黑脸,序章·其二
16,CG-陈姜对峙-姜怒吼扔纸,序章·其二
16,CG-陈姜对峙-姜看合约,序章·其二
16,CG-陈姜对峙-陈递姜接,序章·其二
17,CG-海心乐队演出,张海心·其一
18,CG-小平抚海心手-1,张海心·其一
18,CG-小平抚海心手-2,张海心·其一
19,CG-小平摸海心头,张海心·其一
20,CG-房间里的吉他乐,张海心·其一
21,CG-干杯,张海心·其一
22,CG-灵修室,夏伦·其二
23,CG-夏伦视角的小平,夏伦·其二
24,CG-图书馆-1,夏伦·其二
24,CG-图书馆-2,夏伦·其二
24,CG-图书馆-3,夏伦·其二
24,CG-图书馆-4,夏伦·其二
24,CG-图书馆-5,夏伦·其二
25,CG-三文治-递给,夏伦·其二
25,CG-三文治-夏伦接过,夏伦·其二
26,CG-夏姜聊天,夏伦·其二
26,CG-夏被吓,夏伦·其二
27,CG-活动室排练1小平抬头,夏伦·其二
27,CG-活动室排练1小平低头,夏伦·其二
27,CG-活动室排练1小平皱眉,夏伦·其二
27,CG-活动室排练4夏伦,夏伦·其二
27,CG-活动室排练5金毛吃瘪,夏伦·其二
28,CG-活动室圆桌,夏伦·其二
29,CG-活动室小平发怒,夏伦·其二
30,CG-夕阳,夏伦·其二
31,CG-舞台夏姜跳舞,夏伦·其二
31,CG-舞台夏姜跳舞-动态,夏伦·其二
32,CG-夏姜跳舞-小平睁眼,夏伦·其二
33,CG-夏姜牵手跑,夏伦·其二
33,CG-夏姜牵手跑-动态,夏伦·其二
34,CG-信,夏伦·其二
35,CG-名片,夏伦·其二
