标志（#为普通文本，&为选项文本）,ID,场景,人名,头像框,立绘,演出,内容,跳转,音效,备注,影响数值,影响量,启动事件,需要数值,需求量,时间,音乐
#,1,,姜韶平,姜韶平-难受,,小剧场-陈玉澍对话1关于月经,唔……,,,CG渐入,,,,,,,
,2,,阿福,阿福-默认,,,你怎么了今天？脸色不太好的样子。,,,,,,,,,,
,3,,姜韶平,姜韶平-难受,,,没、没什么……,,,,,,,,,,
,4,,陈玉澍,陈玉澍-平淡,,,……,,,,,,,,,,
,5,,,,,,阿宝，来一下。,,,,,,,,,,
,6,,阿宝,阿宝-平淡,,,喏。,,,,,,,,,,
,7,,姜韶平,姜韶平-惊吓,,,哇！好烫。,,,,,,,,,,
,8,,,姜韶平-紧张,,,这是什么？,,,,,,,,,,
,9,,阿宝,阿宝-平淡,,,灵草堂的药汤，老板差我买的。,,,,,,,,,,
,10,,,阿宝-嘟嘟嘴,,,真好，我也想被老板关心~~,,,,,,,,,,
,11,,姜韶平,姜韶平-惊吓,,,（陈姐她居然……）,,,,,,,,,,
,12,,,姜韶平-欣慰,,,（记得以前痛经的时候，妈妈也经常为我熬药汤……）,,,,,,,,,,
,13,,,姜韶平-错愕,,,（等下，我怎么会产生这种联想？）,,,,,,,,,,
,14,,,空,,,（喝）,,喝水,,,,,,,,
,15,,,姜韶平-咬牙,,,呃！呸、呸呸、好烫、好苦！！,,,,,,,,,,
,16,,,,,,,END,,,,,,,,,
,,1,,,,,,,,,,,,,,,
