标志（#为普通文本，&为选项文本）,ID,场景,人名,头像框,立绘,演出,内容,跳转,音效,备注,影响数值,影响量,启动事件,需要数值,需求量,时间,音乐
#,1,,姜韶平,姜韶平-尴尬,,,九节菖蒲、糯米、圆叶铜钱草、龟苓膏，xx牌的，红腰豆、薏米、芡实、呃，茯苓、莲子……还有，玫瑰花茶…,,,,,,,,,,
,2,,,,,,应该没少吧。,,,,,,,,,,
,3,,陈玉澍,陈玉澍-闭眼-面膜-头像,,小剧场-陈玉澍对话2关于家,辛苦。,,,,,,,,,,
,4,,,,,,去厨房分类装起来。,,,,,,,,,,
,5,,,,,,去厨房分类装起来。龟苓膏你自己拿一个吧，这家很正。,,,,,,,,,,
,6,,姜韶平,姜韶平-紧张,,,谢谢……,,,,,,,,,,
,7,,,姜韶平-紧张-闭嘴,,,……,,,,,,,,,,
,8,,,姜韶平-紧张,,,所以…您忽然叫我来，不会只有这件事吧？,,,,,,,,,,
,9,,陈玉澍,陈玉澍-闭眼-面膜-头像,,,还有走之前把上周的存货带走丢掉。,,,,,,,,,,
,10,,姜韶平,姜韶平-咬牙,,,（原来阿福和阿宝说的真就是字面意义上的跑腿啊……）,,,,,,,,,,
,11,,,姜韶平-无语,,,……您为什么不直接请个佣人呢。,,,,,,,,,,
,12,,陈玉澍,陈玉澍-闭眼-面膜-头像,,,我讨厌家里有外人。,,,,,,,,,,
,13,,姜韶平,姜韶平-惊讶,,,噢……,,,,,,,,,,
,14,,,,,,（原来我不算外人吗？）,,,,,,,,,,
,15,,,姜韶平-错愕,,,（等下，我在开心什么！）,,,,,,,,,,
,16,,,,,,,END,,,,,,,,,
