标志（#为普通文本，&为选项文本）,ID,场景,人名,头像框,立绘,演出,内容,跳转,音效,备注,影响数值,影响量,启动事件,需要数值,需求量,时间,音乐
#,1,场景-房间,,空,空,空,,,急切敲门,背立绘渐出+无刷屏转场+音乐结束+镜头渐变特写0+镜头偏移50,,,,,,,
,2,,姜韶平,姜韶平-疑问-无问号,,,嗯？是谁呀？,,,,,,,,,,
,3,,房东,空,,,<i>——阿妹，有你信啊。</i>,,,,,,,,,,
,4,,空,,,,,,开门,,,,,,,,
,5,,房东,,,,拿去，投进信箱就行了嘛，非要给到我手上。,,,,,,,,,,
,6,,,,,,我收租而已，又不是帮人送信的！,,,,,,,,,,
,7,,姜韶平,姜韶平-尴尬,,,多谢周太……麻烦你了。,,,,,,,,,,
,8,,旁白,空,,,你道过谢便想要回屋，但房东并没有想挪位的意思。,,,,,,,,,,
,9,,房东,,,,我说你啊，不会惹大祸了吧？,,,,,,,,,,
,10,,姜韶平,姜韶平-严肃,,,只是我的私事，不会影响到您和住户的。,,,,,,,,,,
,11,,旁白,空,,,哼，别怪我不提醒你，要是有人来闹事，我就马上收屋！,,,,,,,,,,
,12,,,,,,房东趿拉着拖鞋回自己屋了，你带过门。,,关门,,,,,,,,
,13,,姜韶平,姜韶平-严肃,,,这到底是什么……,,拆开信封,,,,,,,,
,14,,旁白,空,,,姜韶平女士：^^本行谨代表当事人煌玉娱乐通知阁下，当事人已正式向区域法院呈交传讯令状，入禀控告阁下违约，诉讼程序现已正式启动。^念及阁下过往与本行当事人之合作关系，已暂缓向法院申请即时冻结阁下之银行账户。阁下须自本函发出之日起计三个月内，一次性清还所有债务及因诉讼产生之额外律师费用。^若至上述期限届满，阁下仍未能清还欠款，本行将向法院申请即决判决，扣押阁下名下之银行存款及相关合同项下之所有应收账款（包括但不限于未来之剧作及版权收益），并保留向法院呈请阁下破产之权利。届时，阁下此后每一分收入都将受到严格监管与截流。^^望阁下慎重考量法律后果，切勿自误。,,,结局开始,,,,,,,
,15,,,,,,^XX律师行^一九九X年十一月十九日,,,,,,,,,,
,16,,姜韶平,姜韶平-黑脸,,,…………,,,结局结束,,,,,,,
,17,,旁白,空,,,纸张被捏得泛起皱，双手因为愤怒止不住发抖。,,牛皮纸,,,,,,,,
,18,,姜韶平,姜韶平-黑脸,,,不是说好三个月期限吗！？现在就起诉是什么意思啊？！,,,,,,,,,,
,19,,,,,,还……擅自计入律师费！,,,,,,,,,,
,20,,,姜韶平-咬牙,,,啧……,,,,,,,,,,
,21,,旁白,空,,,你揉了揉发胀的太阳穴，这份律师函让你再次意识到陈姐的态度——三个月，超一天都不行。,,,,,,,,,,
,22,,,,,,你看了眼自己列的工作清单和对应的收入，怕是再给你三年都攒不齐。,,,,,,,,,,
,23,,,,,,你还想拍戏，可在发生过事故的现在，只要陈姐不松口，恐怕不会有人敢收你的剧本、敢上你的戏了。,,,,,,,,,,
,24,,,,,,不还，当老赖？,,,,,,,,,,
,25,,,,,,就怕以陈姐的手段，这次是律师函，下次可能就是收债公司了。,,,,,,,,,,
,26,,姜韶平,姜韶平-叹气,,,唉……,,,,,,,,,,
,27,,,姜韶平-委屈,,,到底为什么要这样整我啊……,,,,,,,,,,
,28,,阿宝,空,,,<i>——“才能是最不可控的东西，所以老板会想从源头上买断它。”</i>,,,蒙版渐入,,,,,,,
,29,,姜韶平,姜韶平-认命,,,……如果只是想让我给她写剧本，至于吗？,,,蒙版结束,,,,,,,
,30,,旁白,空,,,那份“卖身契”你是无论如何也不会签的。你这些年的努力，为的才不是给别人当一辈子枪手。,,,,,,,,,,
,31,,,,,,但如果暂时给陈姐工作，应该能有不错的收入吧？说不定还能通过公司的资源，认识一些业界大佬。,,,,,,,,,,
,32,,,,,,况且，要是真的走到对簿公堂的那步，你手头掌握的可用证据也太少了。,,,,,,,,,,
,33,,,,,,……既然如此，还不如主动出击。,,,,,,,,,,
